('01001211', 'Paradigm in Agricultural Extension')
('01222513', 'Applied Quantitative Analysis in Eng. Manage.')
('01222522', 'Supply Chain Design & Management')
('01222533', 'Quality Engineering')
('01222542', 'Management for Engineers')
('01222543', 'Econ.Anal.& Manage.Decision Making for Eng.')
('01222545', 'Cost Management for Engineers')
('01222591', 'Research Methods in Engineering Management')
('01222595', 'Independent Study')
('01222596', 'Selected Topics in Engineering Management')
('01222597', 'Seminar')
('01222598', 'Special Problems')
('01222599', 'Thesis')
('01223521', 'Mathematics for Fire Protection Engineers')
('01223543', 'HVAC Systems for Fire Protection')
('01223572', 'Design of Water-Based Fire Protection Systems')
('01223595', 'Independent Study')
('01223597', 'Seminar')
('01223599', 'Thesis')
('01225121', 'Aviation Organization Management')
('01225142', 'Basic Flight Machanics & Aerodynamics')
('01225162', 'Aviation Law & Regulations')
('01225213', 'Quantitative Analysis in Aviation')
('01225232', 'Aviation Marketing')
('01225246', 'Air Traffic Management')
('01225251', 'Aviation Professional Development')
('01225252', 'Human Factors in Aviation')
('01225281', 'Aircraft General Knowledge')
('01225322', 'Aviation Management & Strategy')
('01225351', 'Aviation Human Resource  Management')
('01225361', 'Aviation Logistics & Supply Chain Management')
('01225363', 'Aviation Ground Service Operations')
('01225371', 'Airline Operations & Management')
('01225373', 'Airport Safety & Security')
('01225381', 'Aviation Maintenance Management')
('01225383', 'Basic Aircraft Maintenance')
('01225483', 'Avionics Systems')
('01225484', 'Basic Practices in Aircraft Tech.& Mainten.')
('01225499', 'Aviation Technology Management Project')
('01227511', 'Computational Mathematics')
('01227522', 'Software Designs for Embedded Systems')
('01227524', 'Hardware Designs Embedded Systems')
('01227527', 'Intelligence Processing')
('01227528', 'Control Systems for Embedded Systems')
('01227599', 'Thesis')
('01229513', 'Contract Admin.for the Built Environ.Project')
('01229531', 'Build. Information Model. for Sustain. Design')
('01229551', 'Large Built Environment System Development')
('01229581', 'Offshore Structure Engineering')
('01229591', 'Res.Meth.in Struc.Tech.for the Built Environ.')
('01229595', 'Independent Study')
('01229599', 'Thesis')
('01230521', 'Utilization Resources Waste Sustain.Environ.')
('01230531', 'Advanced Environmental Pollutant Analysis')
('01230532', 'Advanced Control of Global Envi. Problem')
('01230533', 'Advanced Environmental Remediation Tech.')
('01230536', 'Zero Emission Technology')
('01230537', 'Future Power Train for Sustainable Community')
('01230541', 'Creative Design.Sustain.Environmen.Eng.')
('01230542', 'Process Design Sustain.Environ.Eng.')
('01230544', 'Advanced Water & Wastewater Treatment')
('01230562', 'Nanoengineering for Energy & Environment')
('01230596', 'Selected Topic in Sustain.Energy&Res.Eng.')
('01230599', 'Thesis')
('01240011', 'Design in Everyday Life')
('01240112', 'Architectural Design Fundamental')
('01240114', 'Architectural Design I')
('01240116', 'Visualising Architecture')
('01240122', 'Construction II')
('01240131', 'Structural Mechanics in Architecture')
('01240214', 'Architectural Design III')
('01240222', 'Construction IV')
('01240271', 'Computer Applications for Architecture')
('01240280', 'History of Architecture I')
('01240282', 'Architectural History & Theory I')
('01240310', 'Architectural Design for Sustainability II')
('01240314', 'Architectural Design V')
('01240316', 'Architecture & Participatory Design')
('01240318', 'Architectural Sketch Design II')
('01240322', 'Construction VI')
('01240331', 'Structural Design for Architecture I')
('01240381', 'Architectural History & Theory II')
('01240414', 'Architectural Design for Sustainablity IV')
('01240415', 'Action Design')
('01240454', 'Architectural Professional Practice')
('01240461', 'Evaluation of Builiding Environment')
('01240496', 'Selected Topics in Architecture')
('01240497', 'Seminar')
('01240498', 'Special Problems')
('01240513', 'Experimental Design')
('01240582', 'Architecture of Place')
('01240599', 'Thesis')
('01241111', 'Landscape Architectural Presentation')
('01241141', 'Ancient Civili.& Land.Archi.in the East.World')
('01241211', 'Landscape Architectural Design I')
('01241213', 'Plan & Design')
('01241232', 'Landscape Architectural Constru. Design II')
('01241251', 'Plants Selection & Main.in Lands.Architecture')
('01241261', 'Site Analysis')
('01241271', 'Computer Appli. in Landscape Architecture')
('01241312', 'Landscape Architectural Design III')
('01241314', 'Landscape Architectural Detail Sketch Design')
('01241315', 'Spaces in Landscape Architecture')
('01241316', 'Landscapes for Health & Well-being')
('01241332', 'Landscape Architectural Constru. Design IV')
('01241363', 'Landscape Ecology')
('01241412', 'Landscape Architectural Design V')
('01241443', 'Community Design & Planning')
('01241444', 'Vernacular Landscape Architecture')
('01241445', 'Cultural Landscape')
('01241451', 'Landscape Architecture Cost Estimation')
('01241471', 'Geog. Inform. Sys. for Landscape Architecture')
('01241599', 'Thesis')
('01242001', 'Design & Business of Creative Products')
('01246591', 'Research Methods in Urban & Envi. Planning')
('01247112', 'Eco Design Studio II')
('01247114', 'Architectural Presentation')
('01247115', 'History of Human Settlement & Architecture')
('01247122', 'Building Technology for Small-Scale Building')
('01247131', 'Physic of Structural & Strength of Materials')
('01247142', 'Introduction to Sustainble Architecture')
('01247212', 'Sustainable Architecture Design Studio II')
('01247214', 'Introduction to Interior Architecture')
('01247222', 'Building Tech.Medium-Scale Public Building')
('01247242', 'Lighting Design & Simulation')
('01247243', 'Thermal & Acoustic Design')
('01247312', 'Sustainable Architecture Design Studio IV')
('01247322', 'Build.Inno.Tech.Extra Large-Scale Pub.Build.')
('01247324', 'Advan.Com-Aid. Design Arch.Build.Infor.Model.')
('01247331', 'Cost Estimation')
('01247342', 'Green Building Assessment')
('01247522', 'Scrap Design')
('01247524', 'Build Greenery')
('01247531', 'Environmentally Responsive Building Design')
('01247536', 'Build.Inform.Model.Sys.for Build.Inno.Design')
('01247541', 'Lighting & Environmental Engineering')
('01247543', 'Applied Building Innovation Technology')
('01247591', 'Research Methods in Building Innovation')
('01247592', 'Academic Paper Writing & Technical Comm.')
('01247595', 'Independent Study')
('01247597', 'Seminar')
('01247599', 'Thesis')
('01247697', 'Seminar')
('01247698', 'Special Problems')
('01247699', 'Thesis')
('01249692', 'Academic Writing')
('01249697', 'Seminar')
('01249699', 'Thesis')
('01251101', 'General Aquaculture')
('01251102', 'Ornamental Fish Culture')
('01251211', 'Principles of Aquaculture')
('01251322', 'Breeding & Nursing of Marine Animals')
('01251323', 'Freshwater Animal Culture')
('01251324', 'Mariculture')
('01251351', 'Water Quality for Aquaculture')
('01251371', 'Aquatic Animal Feed')
('01251372', 'Laboratory in Aquatic Animal Feed')
('01251421', 'Ornamental Fish & Aquatic Plants')
('01251422', 'Good Aquaculture Practices')
('01251441', 'Aquaculture Genetics')
('01251442', 'Laboratory in Aquaculture Genetics')
('01251452', 'Water Analysis')
('01251462', 'Aquaculture Pond Construction')
('01251464', 'Pond & Hatchery Design')
('01251471', 'Aquatic Animal Feedstuffs & Quality Evalua.')
('01251491', 'Basic Research Methods in Aquaculture')
('01251497', 'Seminar')
('01251498', 'Special Problems')
('01251522', 'Advanced Mariculture')
('01251532', 'Application of Chem. & Drugs in Aquaculture')
('01251542', 'Aquatic Animal Genomics')
('01251572', 'Aquatic Animal Feed Processing Technology')
('01251591', 'Research Methods in Aquaculture')
('01251597', 'Seminar')
('01251598', 'Special Problems')
('01251599', 'Thesis')
('01251691', 'Advanced Research Methods in Aquaculture')
('01251697', 'Seminar')
('01251698', 'Special Problems')
('01251699', 'Thesis')
('01252241', 'Ichthyology')
('01252242', 'Laboratory in Ichthyology')
('01252311', 'Fish Taxonomy')
('01252312', 'Planktonology')
('01252313', 'Phycology')
('01252331', 'Principles of Aquatic Ecology & Environments')
('01252332', 'Limnology')
('01252351', 'Algal Biotechnology')
('01252371', 'Diseases & Parasites of Aquatic Animals')
('01252421', 'Physiology of Aquatic Animals')
('01252431', 'Environmental Impact Assessment in Fisheries')
('01252441', 'Aquatic Plants & Fisheries')
('01252481', 'Intro.to Data Analysis in Fisheries Biology')
('01252491', 'Basic Research Methods in Fishery Biology')
('01252497', 'Seminar')
('01252498', 'Special Problems')
('01252511', 'Advanced Phycology')
('01252512', 'Advanced Taxonomy of Fish')
('01252516', 'Advanced Planktonology')
('01252522', 'Aquatic Toxicology & Hazard Evaluation')
('01252531', 'Primary Productivity Trophic Status Waters')
('01252552', 'Bioactive Subatance from Algae')
('01252561', 'Fish Population Dynamics')
('01252572', 'Parasites of Aquatic Animals')
('01252573', 'Fish Pathology')
('01252581', 'Intro.to R Program for Fisheries Research')
('01252592', 'Paradigms in Fishery Science')
('01252597', 'Seminar')
('01252598', 'Special Problems')
('01252599', 'Thesis')
('01252632', 'Hydro-Eco.Fun.Carry.Capa.Water Res.Inte.Mgt.')
('01252672', 'Virology of Aquatic Animals')
('01252697', 'Seminar')
('01252698', 'Special Problems')
('01252699', 'Thesis')
('01253161', 'Introduction to Fisheries Laws')
('01253311', 'Fisheries Management Plan')
('01253321', 'Coastal Zone Management')
('01253322', 'Clean Fish Farm Management')
('01253331', 'Principles of Fishery Economics')
('01253342', 'Fishery Business Management')
('01253361', 'Fisheries Law & Regulations')
('01253371', 'Intro Geographic Inform System Fishery Mgt')
('01253372', 'Information Technology in Fisheries')
('01253373', 'Quantitative Analysis in Fisheries')
('01253375', 'Experimental Designs in Fisheries')
('01253411', 'Fishery Management')
('01253421', 'Inland Water & Fishery Resources Management')
('01253422', 'Water Resource Management for Fisheries')
('01253441', 'Logistics & Supply Chain Mange.in Fish.Bus.')
('01253451', 'Fishery Extension')
('01253461', 'Inter.Conven.& Agreements Ralated to Fish.')
('01253472', 'Database Management System for Fisheries')
('01253491', 'Basic Research Methods in Fishery Management')
('01253497', 'Seminar')
('01253511', 'Coastal & Marine Fishery Management')
('01253512', 'Fishery Resources & Management')
('01253513', 'Inland Fishery & Environmental Management')
('01253521', 'Inland Fishery & Environmental Management')
('01253531', 'Fishery Resource Economics')
('01253533', 'Sustainable Aquaculture Management')
('01253551', 'Social Analysis for Fishery Management')
('01253554', 'Statistical Analysis for Fishery Research')
('01253561', 'Fishery Policy')
('01253572', 'Geoinformatics Application in Fish.Science')
('01253573', 'Management Information System in Fisheries')
('01253574', 'Statistical Analysis for Fishery Research')
('01253591', 'Research Techniques in Fishery Management')
('01253597', 'Seminar')
('01253598', 'Special Problems')
('01253599', 'Thesis')
('01253611', 'Tropical Fishery Resource Management')
('01253621', 'Advan.Impact Assessment in Fishery Develop.')
('01253691', 'Adv. Research Methods in Fishery Management')
('01253697', 'Seminar')
('01253699', 'Thesis')
('01254221', 'Fishery Product Nutrition')
('01254271', 'Prin.of Post-Harvest & Fishery Product Tech.')
('01254272', 'Fishery Products & Processing')
('01254312', 'Microbiology of Fishery Products')
('01254322', 'Analysis of Fishery Products')
('01254342', 'Standards & Requlations on Fishery Products')
('01254343', 'Quality Assurance System in Fishery Industry')
('01254351', 'Fishery Products Development')
('01254373', 'Thermal Processing for Fishery Products')
('01254381', 'Fish Processing Plant Design & Management')
('01254421', 'Flavor in Fishery Products')
('01254425', 'Analytical Instrument in Fisheries')
('01254473', 'Ingredients in Fishery Products Processing')
('01254491', 'Basic Research Techniques in Fishery Products')
('01254497', 'Seminar')
('01254525', 'Protein in Fish & Fishery Products')
('01254531', 'Fishery Product Biotechnology')
('01254541', 'Food Safe.Quali.Manage.Sys.Fish Process.Plant')
('01254551', 'Fishery Products Development')
('01254572', 'Thermal Processing Tech. of Fishery Products')
('01254581', 'System Analysis & Mgt.in Fish Processing Ind.')
('01254591', 'Research Methods Fish.Product Science Tech.')
('01254597', 'Seminar')
('01254598', 'Special Problems')
('01254599', 'Thesis')
('01254691', 'Advan.Res.Met.in Fish.Products Science & Tech')
('01254697', 'Seminar')
('01254698', 'Special Problems')
('01254699', 'Thesis')
('01255101', 'Man and Sea')
('01255211', 'Aquatic Fauna')
('01255212', 'Laboratory in Aquatic Fauna')
('01255341', 'Marine Biology')
('01255353', 'Basic SCUBA Diving')
('01255362', 'Introduction to Marine Science Instrument.')
('01255412', 'Biology of Shimp')
('01255413', 'Crab')
('01255416', 'Cephalopods')
('01255417', 'Marine Phytoplankton')
('01255442', 'Coral Reef Ecology')
('01255443', 'Introduction to Marine Benthic Community')
('01255445', 'Marine Chemical Ecology')
('01255446', 'Monitoring Strategies of Marine Bio.Resources')
('01255452', 'Physical Oceanography')
('01255461', 'Small-scale Fisheries')
('01255462', 'Coastal Navigation')
('01255471', 'Marine Pollution')
('01255491', 'Basic Research Methods in Marine Science')
('01255498', 'Special Problems')
('01255525', 'Marine Biological Diversity')
('01255531', 'Marine Natural Products')
('01255534', 'Biomarkers in Marine Environment')
('01255543', 'Responsible Fishing Technology')
('01255553', 'Numerical Model in Oceanography')
('01255563', 'Red Tide')
('01255564', 'Acoustic Tech.for Fish.Resources Assassment')
('01255597', 'Seminar')
